Year,Population_Million,Inflation_Rate,Unemployment_Rate,Exports_USD_Billion,Imports_USD_Billion,FDI_USD_Billion,Industrial_Growth_Rate,Services_Growth_Rate,Agriculture_Growth_Rate,Government_Expenditure_PctGDP,Fiscal_Deficit_PctGDP,Interest_Rate,Exchange_Rate_INR_USD,Energy_Consumption_TWh,GDP_Growth_Rate
2000,1248.97,7.25,6.57,377.66,427.05,40.67,4.39,6.87,4.09,11.77,-7.05,6.49,69.6,1678.93,1.57
2000,1332.43,4.11,4.94,302.73,565.52,73.59,3.83,5.27,3.21,11.41,-5.97,3.93,58.63,1013.7,3.47
2000,1383.39,7.74,5.38,440.67,199.91,36.05,4.51,9.19,5.57,10.96,-6.82,4.31,67.69,1677.27,2.67
2000,1371.47,4.75,6.66,198.46,677.49,12.72,6.45,6.92,5.02,17.34,-7.75,4.33,66.09,994.08,2.06
2000,1214.54,2.65,5.87,508.12,310.51,29.36,6.14,6.99,3.52,13.47,-5.59,5.21,62.72,829.34,6.01
2000,1059.56,7.87,4.94,255.99,506.39,34.08,4.93,8.08,4.41,11.82,-5.35,5.43,74.74,1197.5,2.24
2000,1162.72,5.16,5.49,198.36,441.27,63.31,6.52,8.35,3.46,14.32,-6.74,8.52,74.7,1503.4,1.42
2000,1420.85,2.92,4.37,183.85,354.55,38.16,5.86,6.51,1.49,9.81,-7.38,6.6,67.22,1376,2.84
2000,1391.51,3.97,7.76,459.02,564.5,37.94,7.7,5.14,1.21,19.99,-5.88,5.38,76.49,1418.28,3.25
2000,1500,6.15,6.83,250.86,277.42,28.57,5.2,9.32,6.28,16.63,-6.09,5.7,67.23,775.79,2.22
2000,1290.01,6.76,9.1,237.86,595.14,58.91,2.68,8.94,3.5,15.18,-6.14,5.85,74.72,1411.71,2.17
2000,1046.17,4.25,6.71,168.22,359.97,24.73,3.53,6.12,5.69,15.96,-2.52,7.06,75.4,1545.72,2.57
2000,1281.19,2.07,10.06,417.58,430.04,43.96,2.25,6.91,4.45,14.26,-5.46,5.28,75.46,1474.68,3.14
2000,1500,7.39,8.63,526.79,503.42,51.21,4.27,10.6,4.71,11.46,-7.15,5.12,70.81,1560.88,3.61
2000,1398.79,7.81,5.65,523.78,437.31,42.65,5.56,5.98,3.49,11.5,-4.98,8.16,56.84,1063.7,4.17
2000,1043.94,4.5,8.66,440.87,457.95,35.13,2.77,3.46,8.15,18.09,-6.51,6.58,62.97,1267.98,2.01
2000,1132.97,5.82,3.7,308.71,292.64,38.63,7.43,4.53,5.88,10.72,-4.8,2.96,73.3,871.72,2.41
2000,1204.61,2.01,6.86,409.49,386.64,76.36,8.12,5.9,1.86,11.53,-5.2,6.29,58.02,1424.12,3.78
2000,1317.12,5.18,4.08,249.21,562.36,61.75,7.06,12.44,0.91,17.37,-4.66,7.13,77.99,1018.87,3.86
2000,1200.24,7.17,5.59,406.7,262.14,41.32,8.74,9.06,3.38,10.69,-6.4,6.63,70.09,909.33,3.02
2000,1163.14,3.66,6.61,343.96,469.64,5.27,4.89,8.41,2.81,15.54,-5.32,5.04,67.39,1463.03,2.09
2000,1485.57,6.84,6.57,356.52,628.32,67.71,8.69,5.63,3.16,16.97,-5.15,3.58,64.92,1140.6,3.13
2000,1392.07,4.87,6.22,330.28,313.32,75.67,4.01,6.98,5.19,14.74,-5.16,5.82,75.08,894.65,2.93
2000,1434.6,6.23,8.51,306.73,322.84,29.5,8.26,6.12,3.92,11.96,-6.49,9.48,83.64,1311.81,3.72
2000,1322.42,6.4,8.72,259.85,434.34,58.62,3.16,7.78,-2.05,19.33,-4.78,7.28,68.09,1295.12,2.06
2000,1209.04,7.07,8.13,424.39,394.63,62.88,7.69,7.22,4.34,15.86,-3.92,4.75,81.86,1486.81,2.95
2000,1377.65,6.82,7.82,329.1,311.66,31.32,9.28,6.62,4.46,15.26,-5.47,6.27,66.06,1050.85,3.2
2000,1253.42,5.44,5.21,294.19,80,78.85,6.89,4.6,4.34,13.42,-4.95,3.88,81.14,797.08,3.85
2000,1404.87,7.46,4.77,426.36,509.16,30.59,6.51,5.27,1.94,11.43,-6.5,4.92,67.81,850.45,2.45
2000,1330.33,5.34,6.59,598.32,349.67,31.25,5.16,6.78,1.12,11.95,-7.24,5.46,59.25,1747.02,2.93
2000,1189.54,6.55,8.54,400.52,430.92,64.64,4.32,6.54,2.57,11.85,-9.2,7.76,67.4,1910.84,2.26
2000,1046,4.73,3.83,280.18,614.4,23.1,5.68,7.03,3.93,15.04,-3.99,6.5,88.69,633.46,3.47
2000,1345,1.53,7.08,415.51,281.4,36.56,6.51,5.55,5.17,7.56,-4.44,3.03,73.31,1066.06,3.42
2000,1297.17,8.51,6.99,463.29,564.59,55.91,5.96,9.71,-2.13,14.37,-6.56,3.96,59.76,1377.07,3.07
2000,1253.27,3.65,8.48,178.63,422.48,44.38,2.55,6.69,4.17,18.28,-3.9,7.89,68.24,1283.28,2.2
2000,1266.91,5.51,7.82,471.5,290.63,44.61,5.11,6.96,3.23,19.72,-7.74,4.41,65.66,1041.46,3.14
2000,1211.77,1.92,7.1,292.06,431.13,72.12,5.52,2.06,4.81,16.21,-5.05,7.18,62.81,1229.68,3.21
2000,1141.28,3.83,7.18,255.31,253.62,25.44,7.22,5.01,3.77,9.78,-6.45,4.19,59.55,1026.17,2.63
2000,1438.16,6.36,7.05,463.03,80,35.98,6.01,9.79,5.01,16.73,-6.47,4.68,57.6,1102.15,2.8
2000,1206.31,6.49,6.81,174.05,459.99,35.7,3.49,8.91,2.64,16.12,-5.59,5.41,55.14,1151.8,2.92
2000,1312.08,3.34,5.35,227.92,260.5,67.05,8,2.13,4.99,15.81,-1.8,8.14,65.42,884.98,4.49
2000,1190.97,5.37,6.58,295.12,308.78,34.32,1.94,5.62,0.54,14.49,-5.82,6.21,69.54,895.73,2.42
2000,1276.44,7.47,7.78,171.18,587.32,64.85,4.26,4.74,-1.88,15.8,-3.29,4.07,63.33,1459.74,1.51
2000,1134.25,6.91,6.61,262,226.62,19.79,5.26,5.06,4.71,18.19,-2.85,6.36,69.57,1165.32,1.92
2000,1134.03,5.65,4.89,404.16,552.39,64.5,6.39,7.96,7.56,11.11,-4.59,5.11,74.91,1215.44,3.24
2000,1362.33,8.5,5.43,211.46,505.96,60.36,9.28,1.34,2.35,13.73,-5.97,6.54,74.68,1377.4,2.25
2000,1238.97,5.51,7.56,302.55,282.24,60.58,2.94,8.53,0.82,13.89,-6.15,5.6,61.76,1308.36,2.32
2000,1298.83,5.73,8.04,382.91,558.54,64.23,7.42,4.88,3.08,14.27,-4.37,8.19,82.84,1215.09,3.51
2000,1191.84,7.42,8.62,395.03,500.71,36.51,4.44,5.31,2.41,10.72,-4.71,8.21,70.1,673.45,2
2000,1011.92,7.34,5.97,289.81,460.87,42.68,5.64,10.89,5.39,17.97,-5.97,5.03,60.27,1241.71,3.07
2000,1453.02,4.23,5.6,327.48,297.91,18.49,4.98,9.06,1.61,14.39,-4.11,7.14,59.54,743.86,3.04
2000,1253,3.19,9.05,357.71,571.06,26.95,4.46,6.62,1.85,10.39,-6.94,7.94,64.72,1528.82,1.73
2000,1106.96,3.36,3.61,476.19,386.95,57.46,6.66,8.6,4.23,13.63,-5,4.38,64.24,991.39,3.48
2000,1251.93,5.87,5.86,268.34,664.88,28.08,2.47,9.15,5.27,15.89,-6.16,3.28,82.49,1636.48,3.18
2000,1175.11,7.54,2.76,171.28,436.7,40.42,5.59,9.52,5.73,18.58,-6.17,7.18,67.14,1095.25,3.08
2000,1215.1,6.21,8.44,150.33,562.99,39.61,7.83,8.62,3.95,16.81,-5.43,4.46,66.15,1141.46,2.27
2000,1321.14,7.77,4.25,315.14,584.49,93.1,6.3,3.52,-0.22,16.41,-8.1,6.12,76.16,1384.45,3.28
2000,1302.27,4.73,7.7,287.21,282.84,29.24,5.27,6.55,2.69,13.6,-6.62,5.05,68.51,1343.05,4.02
2000,1457.51,4.77,5.97,492.05,459.93,64.27,4.79,9.71,3.75,10.57,-6.75,5.32,75.67,1000.22,4.61
2000,1155.41,7.71,8.8,207.08,460.31,34,3.85,8.51,5.94,19.41,-4.78,8.13,60.39,973.64,1.12
2000,1500,4.39,4.24,444.8,543.1,56.38,6.97,8.33,5.23,15.7,-3.63,6.45,79.18,1166.56,4.28
2000,1244.73,9.37,6.39,556.7,207.82,39.71,7.49,4.09,6.54,15.02,-7.26,7.33,87.29,753.29,3.66
2000,1262.15,5.21,5.62,349.74,457.93,35.9,8.46,6.09,4.21,12.95,-6.58,5.07,53.33,1374.13,3.78
2000,1286.32,2.55,6.43,270.63,305.5,41.2,3.86,7.63,5.66,20.31,-7.28,8.56,61.71,1061.28,2.35
2000,1203.24,7.84,8.13,443.93,495.36,74.43,8.32,8.58,2.48,16.94,-4.89,6.69,66.81,1059.09,2.31
2000,1332.44,6.5,6.82,569.75,252.5,52.71,3.26,6.78,0.36,11.56,-1.95,4.63,75.34,1375.59,3.37
2000,1500,2.37,5.9,276.7,406.09,30.51,3.7,7.96,0.98,12.84,-8.28,6.49,68.3,1328.34,2.53
2000,1037.57,5.28,8.74,418.56,264.36,61.9,7.16,1.87,1.28,16.8,-6.34,3.51,69.35,1244.26,2.96
2000,1248.95,3.77,7.14,417.07,428.71,31.25,6.87,5.34,3.06,11.74,-5.94,6.49,57.22,1139.06,2.51
2000,1327.6,5.78,9.17,307.82,319.26,39.99,4.03,7.44,2.49,17.76,-4.97,5.06,67.58,1227.7,2.53
2000,1254.38,4.03,6.89,218.17,531.38,34.62,3.97,6.45,3.24,17.44,-8.24,5.45,77.19,1278.6,2.18
2000,1175.95,6.43,4.29,541.03,363.25,64.4,4.69,7.19,4.8,20.08,-6.87,5.68,72.27,1155.33,3.97
2000,1103.17,4.67,5.73,286.74,433.8,50.77,10.47,7.8,3.64,15.83,-7.45,3.05,79.87,1272.75,4.02
2000,1146.2,2.04,6.13,377.16,264.92,35.35,5.55,9.05,2.38,12.64,-6.19,6.4,70.87,1368.69,2.82
2000,1269.49,5.09,5.33,585.9,472.49,56.94,5.03,4.51,5.58,19.21,-5.74,3.9,80.79,1116.41,3.98
2000,1309.03,5.46,5.59,381.76,461.62,29.64,5.95,7.59,1.97,11.05,-5.66,5.7,65.87,1164.16,2.5
2000,1448.33,3.37,8.23,362.65,451.95,59.17,8.07,7.43,6.61,11.75,-5.63,6.32,56.6,1231.44,3.4
2000,1153.78,5.6,8.18,396.95,251.12,5,3.03,8.61,2.93,13.72,-5.12,7.56,68.3,1230.91,2.19
2000,1323.32,6.68,7.95,540.47,620.16,69.92,7.45,9.43,5.48,10.51,-4.71,6.39,67.16,1290.46,3.92
2000,1179.27,6.29,7.61,187.69,512.6,23.93,5.13,10.81,2.43,21.31,-5.57,7.66,78.56,1508.12,3.1
2000,1244.9,9.16,6.35,219.63,347.16,55.7,1.58,11.29,1.07,16.21,-5.73,7.72,71.07,1220,3.59
2000,1260.94,7.92,7.41,526.15,448.5,56.5,4.56,8.06,1.66,16.86,-4.18,6.73,62.49,719.34,4.03
2000,1333.92,6.17,7.38,261.87,200.13,48.39,4.75,5.23,4.33,17.46,-5.68,6.72,64.43,943.94,2.06
2000,1152.61,3.46,9.99,217.14,317.01,43.66,5.23,4.7,1.87,12.99,-3.17,6.34,70.28,1304.43,2.01
2000,1319.26,6.84,6.25,104.14,178.8,27.47,4.5,7.19,1.73,12.23,-3.56,7.86,64.89,1290.05,1.56
2000,1251.48,7.35,6.14,432.63,80.14,33.23,5.8,5.68,5.33,18.31,-8.9,2.74,67.46,1379.36,2.32
2000,1327.01,6.15,9.61,485.44,375.98,43.36,7.05,8.28,1.91,20.42,-6.47,5.75,73.14,1280.79,1.5
2000,1056.52,6.84,10.58,353.36,164.41,5,6.18,5.28,3.29,15.11,-3.53,4.68,69.99,1205.17,2.42
2000,1500,4.85,8.36,247.53,427.29,37.69,2.19,6.82,1.95,13.39,-6.92,4.44,65.19,1054,-0.24
2000,1285.97,6.07,7.33,409.34,345.64,76.57,8.08,10.46,1.21,18.19,-3.92,5.37,75.52,1616.37,4.11
2000,1330.19,2.26,7.09,442.89,198.96,67.28,7.09,8.71,4.45,16.98,-7.6,6.24,73.46,1101.93,4.1
2000,1287.38,1.84,5.26,50,244.41,55.04,4.9,7.55,2.73,16.04,-5.66,6.59,79.78,1430.21,1.68
2000,1402.7,3.78,3.6,517.57,305.15,50.79,4.77,5.93,1.29,16.01,-4.67,6.21,73.86,876.89,3.34
2000,1377.53,6.82,9.89,291.21,592.02,18.37,5.19,7.8,2.2,9.48,-5.16,4.21,75.56,1298.75,1.48
2000,1144.4,8.09,6.83,266.61,467.45,54.93,8.21,8.19,1.61,23.15,-6.35,5.14,80.71,1429.12,2.17
2000,1283.68,3.74,6.52,592.69,596.82,54.26,4.64,6.7,3.15,13.82,-3.34,5.37,73.02,1063,3.76
2000,1197.61,8.46,7.26,419.24,429.13,34.3,6.77,7.97,0.1,19.91,-3.68,8.78,74.89,1367.24,3.09
2000,1359.79,3.52,8.57,205.23,105.35,82.31,6.92,7.02,7.24,8.93,-6.42,6.01,75.43,1327.85,3.43
2000,1114.17,5.91,5.64,295.15,672.97,75.92,2.63,11.71,2.01,16.34,-4.65,7.95,71.47,776.4,3.1
2000,1154.55,6.47,7.74,145.05,387.82,39.71,8.04,9.29,4.48,9.34,-5.44,7.98,68.7,1144.58,2.29
2000,1156.07,5.52,5.71,343.81,276.39,44.78,7.23,3.44,1.84,11.89,-3.01,6.43,68.64,1043.24,2.09
2000,1179.04,3.33,3.48,299.24,345.85,71.01,5.73,9.46,4.55,20.95,-5.93,4.8,58.35,1105.22,3.99
2000,1336.83,11.73,4.68,485.94,98.16,52.06,7.73,7.11,3.71,13.31,-3.8,4.04,62.41,1183.17,3.72
2000,1275.34,4.03,4.37,312.23,336.5,52.92,8.52,11.16,2.32,12.99,-4.43,6.57,86.1,628.39,3.08
2000,1179.27,4.56,3.1,188.76,237.71,55.44,3.16,6.59,4.71,15.51,-7.27,3.72,59.93,1437.8,2.26
2000,1271.85,7.05,4.21,546.99,227.44,49.03,2.77,6.14,2.54,14.98,-3.72,6.91,63.63,1338.94,3.43
2000,1055.42,3.62,5.45,223.07,591.95,22.94,3.98,9.69,3.75,18.91,-4.48,5.43,74.7,1259.38,2.52
2000,1162.04,4.01,2,372.04,292.36,47.55,7.33,7.85,3.65,17.71,-7.38,6.21,64.23,1206.36,3.54
2000,1178.95,8.38,8.88,343.61,448.19,62.14,4.52,7.5,2.15,9.48,-4.21,7.54,75.04,936.81,2.99
2000,1161.91,3.43,7.65,362.82,285.55,27.61,4.87,7.87,6.19,16.9,-4.94,5.14,57.78,613.86,3.36
2000,1381.45,5.61,7.4,221.17,502.86,26.79,4.22,7.3,2.9,17.46,-8.08,6.42,75.78,1542.85,2.03
2000,1251.63,5.41,5.74,572.44,452.65,17.18,5.32,5.85,1.84,17.78,-6.62,3.46,67.91,1095.51,2.98
2000,1384.74,6.89,4.74,314.38,198.46,25.68,7.73,8.27,3.57,15.88,-6.72,7.56,79.54,928.51,2.31
2000,1131.5,6.09,9.26,419.12,359.54,20.51,4.88,7.93,5.34,12.26,-7.04,6.21,63.6,954.33,2.57
2000,1334.84,3.46,4.65,200.91,484.9,79.09,4.63,8.45,1.68,18.78,-4.72,4.35,58.63,1496.53,3.48
2000,1345.27,3.09,6.91,155.25,442.59,33.53,5.54,5.56,5.48,11.39,-7.51,6.08,65.81,1010.92,2.33
2000,1306.51,6.72,5.77,525.61,501.01,59.69,1.86,7.5,3.4,15.25,-6.26,3.64,57.84,989.51,3.44
2000,1348.52,7.13,8.26,522.67,303.63,36.26,3.39,8.43,8.95,16.5,-9.74,5.82,76.77,1431.59,1.33
2000,1348.69,3.55,5.35,249.11,563.9,60.46,3.85,6.79,0.49,16.92,-5.37,6.78,70.63,1250.53,3.19
2000,1172.1,7.82,6.16,271.11,534.11,60.77,4.39,8.64,4.88,15.43,-3.36,8.21,67.41,1302.24,2.95
2000,1154.91,6.09,6.19,406.89,364.76,64.65,3.32,6.22,2.4,11.19,-3.49,8.81,75.86,1612.53,2.96
2000,1188.4,5.4,3.93,488.93,539.61,43.21,3.43,2.68,3.33,8.22,-5.02,9.06,65.68,1191.56,2.82
2000,1265.84,7.24,5.9,204.29,398.88,47.77,6.02,8.41,2.23,14.36,-7.56,5.87,58.74,1333.71,1.67
2000,1000,5.04,9.04,271.76,594.92,57.83,7.29,10.43,4.52,10.87,-5.66,6.39,65.68,1261.19,3.09
2000,1234.45,4.74,6.96,206.49,525.88,43.24,3.67,5.25,6.15,11.51,-7.63,6.29,70.43,1164.98,2.11
2000,1227.59,6.3,8.5,493.83,353.9,45.26,8.61,5.66,3.42,11.99,-4.28,6.07,70.58,1252.3,3.82
2000,1247.03,9.6,8.47,403.48,739.06,41.91,5.09,5.68,1.22,15.72,-5.92,8.91,64.25,1023.22,3.6
2000,1000,9.99,4.02,378.85,523.9,80.76,9.76,7.4,3.26,9.02,-3.58,4.11,83.43,821.95,2.86
2000,1197.05,3.2,4.53,290.1,372.34,71.55,7.86,7.01,2.4,14.97,-4.86,4.9,80.46,1175.83,3.81
2000,1233.85,6.78,3.4,487.47,287.81,23.81,5.39,8.21,4.27,15.39,-6.4,7.96,72.27,1233.93,3.72
2000,1148.55,7.03,7.74,285.17,224.9,49.62,6.7,5.86,4.84,13.21,-5.33,7.29,68.29,1314.69,3.01
2000,1280.53,6.47,7.13,328.58,371.15,65.03,4.53,5.32,5.5,14.05,-2.44,6.29,52.45,1351.25,2.32
2000,1266.81,8.22,9.75,119.04,536.72,53.64,8.85,7.05,0.58,10.88,-5.16,6.4,54.16,1008.55,1.73
2000,1090.27,6.12,9.72,511.71,289.65,57.61,5.91,9.87,3.2,14.89,-4.78,5.28,72.57,1104.84,3.1
2000,1000,4.7,9.17,82.89,369.08,34.74,1.99,8.05,2.97,16.3,-8.41,4.7,68.69,1174.68,0.98
2000,1269.47,4.74,4.25,389.58,382.57,48.23,1.92,7.08,7.23,12.41,-6.84,6.58,76.89,1300.36,2.61
2000,1331.51,5.28,9.61,184.91,532.81,30.06,6.27,2.29,3.94,21.49,-4.18,5.88,82.92,804.81,1.33
2000,1129.75,3.89,6.13,538.69,432.13,58.71,5.72,1.6,3.13,19.47,-5.78,3.35,70.35,1412.87,3.15
2000,1335.07,0.1,2.43,354.29,212.22,77.1,6.65,7,7.54,11.41,-4.74,6.46,81.23,1150.95,3.51
2000,1295.81,2.88,8.36,273.61,677.01,36.72,9.27,6.31,1.35,19.11,-4.78,9.19,64.64,745.09,2.98
2000,1300.4,4.63,6.34,422.71,317.99,39.01,6.77,3.99,2.95,15.64,-0.22,6.27,67.28,1076.64,3.34
2000,1158.45,8.49,5.85,306.06,553,28.52,6.34,5.76,6.11,17.25,-6.31,6.7,67.76,1142.41,2.79
2000,1090.22,2.9,10.34,331.83,612.53,5,3.05,5.39,3.88,15.46,-3.42,5.4,72.09,1271.33,1.47
2000,1028.68,7.57,7.42,338.02,298.82,55.64,4.28,9.51,3.23,11.29,-8.94,6.19,77.71,1896.65,2.85
2000,1227.96,8.67,5.05,338.45,379.14,11.63,5.32,8.39,1.17,19.39,-5.98,6.86,62.61,1182.36,2.15
2000,1333.98,3.28,8.99,453.5,538.12,38.55,8.12,6.89,3.85,19.72,-7.12,4.77,76.29,1284.81,2.28
2000,1236.38,4.56,5.82,419.06,480.99,50.19,7.36,9.6,3.79,18.28,-5.3,5.01,68.98,1142.63,4.1
2000,1368.78,5.72,8.06,342.54,319.29,18.76,0.96,9.35,5.52,16.54,-6.78,5.69,79.94,1393.53,2.51
2000,1112.82,7.1,6.75,360.07,425.25,47.2,5.14,6.81,3.61,10.47,-3.39,4.42,81.56,1052.98,1.42
2000,1304.54,1.23,6.99,414.9,676.68,5,3.13,4.47,5.17,11.1,-5.81,5.89,79.04,1079.39,2.97
2000,1250.3,1.6,5.31,350.71,474.77,25.55,8.12,7.05,2.44,14.2,-5.19,6.71,79.73,1394.3,3.14
2000,1000,8.94,7.39,147.69,383.75,17.08,13.63,3.49,4.92,12.81,-4.45,5.69,67.42,1541.19,3.09
2000,1305.92,4.77,7.87,255.66,548.26,71.99,6.23,3.34,2.6,10.78,-6.46,8.04,83.13,981.5,2.07
2000,1340.91,6.67,6.24,439.01,609.84,32.31,5.26,7.31,1.08,14.77,-5.13,6.08,85.62,1006.6,3.53
2000,1224.17,2.48,5.8,300.98,385.72,46.18,3.77,9.05,2.79,14.71,-5.16,4.7,66.49,935.74,2
2000,1180.31,4.83,5.16,329.61,624.85,39.76,4.45,7.74,3.54,12.97,-4.82,6.43,69.2,848.98,3.15
2000,1254.03,5.31,6.64,181.87,333.53,23.52,5.65,7.12,3.1,16.42,-6.88,5.87,68.9,1164.01,2.14
2000,1381.67,5.26,9.31,586.93,314.3,90.04,6.24,5.72,3.29,14.21,-7.13,3.1,77.83,922.97,3.75
2000,1289.92,5.09,5.54,407.44,352.85,61.4,5.5,8.01,3.28,15.23,-5.7,4.45,67.93,1405.4,4.05
2000,1125.83,8.63,7.96,439.78,404.49,56.59,3.44,4.34,3.77,11.6,-3.39,7.16,61.4,1058.88,2.65
2000,1097.15,7.01,9.68,376.3,616.88,63.66,6.56,6.77,2.52,13.31,-5.63,5.81,70.74,1654.25,3.87
2000,1327.31,6.66,10.91,522.21,425.32,25.37,5,6.84,5.26,12.12,-3.64,5.08,61.43,990.16,3.46
2000,1370.52,4.82,6.59,181.77,474.56,16.29,5.85,4.94,8.13,13.7,-3.66,5.36,59.06,964.3,2.17
2000,1245.61,4.89,6.73,288.78,505.23,47.52,7.02,5.56,7.36,12.67,-5.83,5.86,49.14,1276.07,4.15
2000,1270.31,6.29,4.22,237.17,281.87,29.64,4.55,5.61,2.88,14.21,-6.29,3.79,75.86,1138.36,1.45
2000,1381.44,7.22,7.23,506.42,733.15,37.06,3.14,6.16,2.13,18.4,-4.26,6.61,79.3,1051.25,2.4
2000,1296.03,6.62,9.32,399.96,495.84,61.15,5.36,5.55,2.21,14.13,-7.45,6.41,58.61,500,3.44
2000,1336.64,5.64,7.96,330.81,435.31,98.66,7.92,6.05,2.84,13.2,-6,8.61,69.64,801.02,4.01
2000,1196.18,3.37,8,327.38,319.01,48.04,6.42,9.07,0.76,16.25,-5.85,5.49,68.12,1234,3.54
2000,1079.87,7,7.6,301.65,418.5,69.23,8.28,7.55,2.19,15.59,-5.24,7.22,73.68,1020.47,2.7
